epoch,model,dataset,seed,split_seed,layer,activation_entropy,train_loss,val_loss,train_accuracy,val_accuracy,val_generalization_gap,source_file
25,cnn,FashionMNIST,1,42,relu1,2.915020367596321,0.0409461135959625,0.3642427151679993,0.98586,0.9119,0.0739599999999999,cnn_FashionMNIST_seed1_entropy_history.csv
25,cnn,FashionMNIST,1,42,relu2,1.6260590783709028,0.0409461135959625,0.3642427151679993,0.98586,0.9119,0.0739599999999999,cnn_FashionMNIST_seed1_entropy_history.csv
25,cnn,FashionMNIST,1,42,relu3,2.40117170277753,0.0409461135959625,0.3642427151679993,0.98586,0.9119,0.0739599999999999,cnn_FashionMNIST_seed1_entropy_history.csv
26,cnn,FashionMNIST,1,42,relu1,2.969698446249793,0.0371924538481235,0.3581857459068298,0.98668,0.9142,0.0724799999999999,cnn_FashionMNIST_seed1_entropy_history.csv
26,cnn,FashionMNIST,1,42,relu2,1.5383792414167832,0.0371924538481235,0.3581857459068298,0.98668,0.9142,0.0724799999999999,cnn_FashionMNIST_seed1_entropy_history.csv
26,cnn,FashionMNIST,1,42,relu3,2.368817139522278,0.0371924538481235,0.3581857459068298,0.98668,0.9142,0.0724799999999999,cnn_FashionMNIST_seed1_entropy_history.csv
27,cnn,FashionMNIST,1,42,relu1,2.9844101449279434,0.0322938987064361,0.3780887624263763,0.98814,0.917,0.0711399999999999,cnn_FashionMNIST_seed1_entropy_history.csv
27,cnn,FashionMNIST,1,42,relu2,1.5478687795172086,0.0322938987064361,0.3780887624263763,0.98814,0.917,0.0711399999999999,cnn_FashionMNIST_seed1_entropy_history.csv
27,cnn,FashionMNIST,1,42,relu3,2.468461056602577,0.0322938987064361,0.3780887624263763,0.98814,0.917,0.0711399999999999,cnn_FashionMNIST_seed1_entropy_history.csv
28,cnn,FashionMNIST,1,42,relu1,2.9865970261966237,0.0293807110846042,0.416277158498764,0.9897,0.9155,0.0742,cnn_FashionMNIST_seed1_entropy_history.csv
28,cnn,FashionMNIST,1,42,relu2,1.582780697361462,0.0293807110846042,0.416277158498764,0.9897,0.9155,0.0742,cnn_FashionMNIST_seed1_entropy_history.csv
28,cnn,FashionMNIST,1,42,relu3,2.458849558948087,0.0293807110846042,0.416277158498764,0.9897,0.9155,0.0742,cnn_FashionMNIST_seed1_entropy_history.csv
29,cnn,FashionMNIST,1,42,relu1,2.9879772243329747,0.0263812341034412,0.4186871397972107,0.99108,0.9153,0.0757799999999999,cnn_FashionMNIST_seed1_entropy_history.csv
29,cnn,FashionMNIST,1,42,relu2,1.5872769784431062,0.0263812341034412,0.4186871397972107,0.99108,0.9153,0.0757799999999999,cnn_FashionMNIST_seed1_entropy_history.csv
29,cnn,FashionMNIST,1,42,relu3,2.411614544095911,0.0263812341034412,0.4186871397972107,0.99108,0.9153,0.0757799999999999,cnn_FashionMNIST_seed1_entropy_history.csv
30,cnn,FashionMNIST,1,42,relu1,2.972646503707943,0.0220054011476039,0.4099649992465973,0.99276,0.9156,0.07716,cnn_FashionMNIST_seed1_entropy_history.csv
